Fecha;Departamento;Casa;Fallecido;Hospital;Hospital UCI;Recuperado
17-abr;Amazonas;1;0;0;0;0
18-abr;Amazonas;3;0;0;0;0
21-abr;Amazonas;1;0;1;0;0
23-abr;Amazonas;4;1;1;0;0
24-abr;Amazonas;2;0;0;0;0
25-abr;Amazonas;19;1;3;0;0
26-abr;Amazonas;2;0;1;0;0
28-abr;Amazonas;29;0;8;0;0
29-abr;Amazonas;23;0;4;0;0
09-mar;Antioquia;0;0;0;0;1
11-mar;Antioquia;0;0;0;0;3
14-mar;Antioquia;0;0;0;0;3
15-mar;Antioquia;0;0;0;0;1
19-mar;Antioquia;0;0;0;0;3
20-mar;Antioquia;1;0;0;0;10
21-mar;Antioquia;0;0;0;0;3
22-mar;Antioquia;1;0;0;0;4
23-mar;Antioquia;1;0;0;2;19
25-mar;Antioquia;1;0;0;0;7
28-mar;Antioquia;2;0;0;0;5
29-mar;Antioquia;2;1;1;0;15
30-mar;Antioquia;3;0;0;0;7
31-mar;Antioquia;1;0;0;2;2
01-abr;Antioquia;1;0;0;0;5
02-abr;Antioquia;2;0;0;0;18
03-abr;Antioquia;7;0;0;0;11
04-abr;Antioquia;2;0;0;0;3
05-abr;Antioquia;11;0;0;1;10
06-abr;Antioquia;4;1;0;1;5
07-abr;Antioquia;10;0;0;0;5
08-abr;Antioquia;29;0;0;1;7
09-abr;Antioquia;3;0;0;0;1
10-abr;Antioquia;4;0;1;0;2
11-abr;Antioquia;4;0;0;1;1
12-abr;Antioquia;4;0;0;0;4
13-abr;Antioquia;11;0;0;0;2
14-abr;Antioquia;10;0;1;1;5
15-abr;Antioquia;10;0;0;0;2
16-abr;Antioquia;5;1;0;0;1
17-abr;Antioquia;13;0;2;0;1
18-abr;Antioquia;9;0;0;0;0
19-abr;Antioquia;15;2;1;0;0
20-abr;Antioquia;11;0;0;0;0
21-abr;Antioquia;2;0;1;0;0
22-abr;Antioquia;26;0;1;0;0
23-abr;Antioquia;29;0;1;0;0
24-abr;Antioquia;20;0;0;1;0
25-abr;Antioquia;5;0;0;0;0
26-abr;Antioquia;3;0;0;0;0
27-abr;Antioquia;8;0;0;0;0
28-abr;Antioquia;3;0;0;0;0
29-abr;Antioquia;5;0;0;0;0
22-mar;Archipiélago de San Andrés Providencia y Santa Catalina;0;0;0;0;1
01-abr;Archipiélago de San Andrés Providencia y Santa Catalina;0;0;0;0;1
09-abr;Archipiélago de San Andrés Providencia y Santa Catalina;1;0;0;0;1
11-abr;Archipiélago de San Andrés Providencia y Santa Catalina;1;0;0;0;0
17-abr;Archipiélago de San Andrés Providencia y Santa Catalina;1;0;0;0;0
25-mar;Atlántico;0;0;0;0;1
27-mar;Atlántico;0;1;0;0;1
28-mar;Atlántico;0;0;0;0;1
03-abr;Atlántico;0;0;0;0;3
05-abr;Atlántico;0;1;0;0;1
07-abr;Atlántico;1;0;0;0;4
08-abr;Atlántico;0;0;0;0;4
10-abr;Atlántico;1;0;0;0;0
11-abr;Atlántico;1;0;0;0;0
12-abr;Atlántico;1;0;0;0;2
13-abr;Atlántico;2;0;0;0;0
15-abr;Atlántico;1;0;0;0;0
16-abr;Atlántico;1;0;0;0;0
17-abr;Atlántico;1;0;0;0;0
18-abr;Atlántico;3;0;0;0;0
20-abr;Atlántico;2;0;0;0;0
23-abr;Atlántico;5;0;0;0;0
24-abr;Atlántico;2;0;0;2;0
25-abr;Atlántico;15;0;0;0;0
26-abr;Atlántico;6;1;0;1;0
27-abr;Atlántico;19;0;4;0;0
28-abr;Atlántico;6;1;1;1;0
29-abr;Atlántico;15;0;0;0;0
16-mar;Barranquilla D.E.;0;0;0;0;2
19-mar;Barranquilla D.E.;0;0;0;0;3
21-mar;Barranquilla D.E.;0;0;0;0;2
24-mar;Barranquilla D.E.;0;0;0;0;2
25-mar;Barranquilla D.E.;0;0;0;0;3
