Fecha;Departamento;Casa;Fallecido;Hospital;Hospital UCI;Recuperado
17/04/2020;Amazonas;1;0;0;0;0
18/04/2020;Amazonas;3;0;0;0;0
21/04/2020;Amazonas;1;0;1;0;0
23/04/2020;Amazonas;4;1;1;0;0
24/04/2020;Amazonas;2;0;0;0;0
25/04/2020;Amazonas;19;1;3;0;0
26/04/2020;Amazonas;2;0;1;0;0
28/04/2020;Amazonas;29;0;8;0;0
29/04/2020;Amazonas;23;0;4;0;0
09/03/2020;Antioquia;0;0;0;0;1
11/03/2020;Antioquia;0;0;0;0;3
14/03/2020;Antioquia;0;0;0;0;3
15/03/2020;Antioquia;0;0;0;0;1
19/03/2020;Antioquia;0;0;0;0;3
20/03/2020;Antioquia;1;0;0;0;10
21/03/2020;Antioquia;0;0;0;0;3
22/03/2020;Antioquia;1;0;0;0;4
23/03/2020;Antioquia;1;0;0;2;19
25/03/2020;Antioquia;1;0;0;0;7
28/03/2020;Antioquia;2;0;0;0;5
29/03/2020;Antioquia;2;1;1;0;15
30/03/2020;Antioquia;3;0;0;0;7
31/03/2020;Antioquia;1;0;0;2;2
01/04/2020;Antioquia;1;0;0;0;5
02/04/2020;Antioquia;2;0;0;0;18
03/04/2020;Antioquia;7;0;0;0;11
04/04/2020;Antioquia;2;0;0;0;3
05/04/2020;Antioquia;11;0;0;1;10
06/04/2020;Antioquia;4;1;0;1;5
07/04/2020;Antioquia;10;0;0;0;5
08/04/2020;Antioquia;29;0;0;1;7
09/04/2020;Antioquia;3;0;0;0;1
10/04/2020;Antioquia;4;0;1;0;2
11/04/2020;Antioquia;4;0;0;1;1
12/04/2020;Antioquia;4;0;0;0;4
13/04/2020;Antioquia;11;0;0;0;2
14/04/2020;Antioquia;10;0;1;1;5
15/04/2020;Antioquia;10;0;0;0;2
16/04/2020;Antioquia;5;1;0;0;1
17/04/2020;Antioquia;13;0;2;0;1
18/04/2020;Antioquia;9;0;0;0;0
19/04/2020;Antioquia;15;2;1;0;0
20/04/2020;Antioquia;11;0;0;0;0
21/04/2020;Antioquia;2;0;1;0;0
22/04/2020;Antioquia;26;0;1;0;0
23/04/2020;Antioquia;29;0;1;0;0
24/04/2020;Antioquia;20;0;0;1;0
25/04/2020;Antioquia;5;0;0;0;0
26/04/2020;Antioquia;3;0;0;0;0
27/04/2020;Antioquia;8;0;0;0;0
28/04/2020;Antioquia;3;0;0;0;0
29/04/2020;Antioquia;5;0;0;0;0
22/03/2020;Archipiélago de San Andrés Providencia y Santa Catalina;0;0;0;0;1
01/04/2020;Archipiélago de San Andrés Providencia y Santa Catalina;0;0;0;0;1
09/04/2020;Archipiélago de San Andrés Providencia y Santa Catalina;1;0;0;0;1
11/04/2020;Archipiélago de San Andrés Providencia y Santa Catalina;1;0;0;0;0
17/04/2020;Archipiélago de San Andrés Providencia y Santa Catalina;1;0;0;0;0
25/03/2020;Atlántico;0;0;0;0;1
27/03/2020;Atlántico;0;1;0;0;1
28/03/2020;Atlántico;0;0;0;0;1
03/04/2020;Atlántico;0;0;0;0;3
05/04/2020;Atlántico;0;1;0;0;1
07/04/2020;Atlántico;1;0;0;0;4
08/04/2020;Atlántico;0;0;0;0;4
10/04/2020;Atlántico;1;0;0;0;0
11/04/2020;Atlántico;1;0;0;0;0
12/04/2020;Atlántico;1;0;0;0;2
13/04/2020;Atlántico;2;0;0;0;0
15/04/2020;Atlántico;1;0;0;0;0
16/04/2020;Atlántico;1;0;0;0;0
17/04/2020;Atlántico;1;0;0;0;0
18/04/2020;Atlántico;3;0;0;0;0
20/04/2020;Atlántico;2;0;0;0;0
23/04/2020;Atlántico;5;0;0;0;0
24/04/2020;Atlántico;2;0;0;2;0
25/04/2020;Atlántico;15;0;0;0;0
26/04/2020;Atlántico;6;1;0;1;0
27/04/2020;Atlántico;19;0;4;0;0
28/04/2020;Atlántico;6;1;1;1;0
29/04/2020;Atlántico;15;0;0;0;0
16/03/2020;Barranquilla D.E.;0;0;0;0;2
19/03/2020;Barranquilla D.E.;0;0;0;0;3
21/03/2020;Barranquilla D.E.;0;0;0;0;2
24/03/2020;Barranquilla D.E.;0;0;0;0;2
25/03/2020;Barranquilla D.E.;0;0;0;0;3
27/03/2020;Barranquilla D.E.;0;1;0;0;0
28/03/2020;Barranquilla D.E.;0;0;0;0;3
29/03/2020;Barranquilla D.E.;0;0;0;1;3
30/03/2020;Barranquilla D.E.;0;0;0;0;1
31/03/2020;Barranquilla D.E.;1;1;0;0;6
01/04/2020;Barranquilla D.E.;2;0;0;0;0
03/04/2020;Barranquilla D.E.;2;0;0;0;7
05/04/2020;Barranquilla D.E.;2;0;0;0;0
06/04/2020;Barranquilla D.E.;1;0;0;0;0
07/04/2020;Barranquilla D.E.;3;0;0;0;0
08/04/2020;Barranquilla D.E.;2;0;0;0;1
09/04/2020;Barranquilla D.E.;3;0;0;0;3
10/04/2020;Barranquilla D.E.;5;0;0;0;0
11/04/2020;Barranquilla D.E.;2;0;0;2;0
12/04/2020;Barranquilla D.E.;1;1;0;0;0
13/04/2020;Barranquilla D.E.;1;0;0;0;0
14/04/2020;Barranquilla D.E.;1;0;0;0;1
16/04/2020;Barranquilla D.E.;1;0;0;0;0
17/04/2020;Barranquilla D.E.;2;0;0;0;0
18/04/2020;Barranquilla D.E.;1;0;2;0;0
19/04/2020;Barranquilla D.E.;2;0;0;0;0
20/04/2020;Barranquilla D.E.;1;0;0;0;0
21/04/2020;Barranquilla D.E.;2;2;0;0;0
22/04/2020;Barranquilla D.E.;3;0;0;0;0
23/04/2020;Barranquilla D.E.;0;1;1;0;0
24/04/2020;Barranquilla D.E.;5;0;0;0;0
25/04/2020;Barranquilla D.E.;7;0;0;0;0
26/04/2020;Barranquilla D.E.;12;0;0;0;0
27/04/2020;Barranquilla D.E.;19;0;0;0;0
28/04/2020;Barranquilla D.E.;9;0;0;0;0
29/04/2020;Barranquilla D.E.;0;0;2;0;0
06/03/2020;Bogotá D.C.;0;0;0;0;1
11/03/2020;Bogotá D.C.;0;0;0;0;2
12/03/2020;Bogotá D.C.;0;0;0;0;2
13/03/2020;Bogotá D.C.;0;0;0;0;1
14/03/2020;Bogotá D.C.;0;0;0;0;10
15/03/2020;Bogotá D.C.;1;0;0;0;9
16/03/2020;Bogotá D.C.;0;0;0;0;6
17/03/2020;Bogotá D.C.;1;0;0;0;6
18/03/2020;Bogotá D.C.;0;0;0;0;5
19/03/2020;Bogotá D.C.;3;0;0;0;5
20/03/2020;Bogotá D.C.;1;2;0;0;24
21/03/2020;Bogotá D.C.;0;0;0;0;5
22/03/2020;Bogotá D.C.;0;1;0;0;3
23/03/2020;Bogotá D.C.;1;2;0;0;26
24/03/2020;Bogotá D.C.;1;1;0;0;39
25/03/2020;Bogotá D.C.;3;0;0;0;11
26/03/2020;Bogotá D.C.;0;1;0;0;6
27/03/2020;Bogotá D.C.;11;2;1;0;24
28/03/2020;Bogotá D.C.;13;3;1;0;21
29/03/2020;Bogotá D.C.;16;0;1;1;15
30/03/2020;Bogotá D.C.;18;3;0;0;34
31/03/2020;Bogotá D.C.;18;3;0;0;19
01/04/2020;Bogotá D.C.;38;10;0;0;33
02/04/2020;Bogotá D.C.;33;4;2;1;28
03/04/2020;Bogotá D.C.;21;4;1;2;16
04/04/2020;Bogotá D.C.;59;8;3;2;32
05/04/2020;Bogotá D.C.;17;5;1;0;8
06/04/2020;Bogotá D.C.;33;3;1;0;15
07/04/2020;Bogotá D.C.;49;3;1;2;29
08/04/2020;Bogotá D.C.;79;7;1;3;41
09/04/2020;Bogotá D.C.;25;3;0;1;7
10/04/2020;Bogotá D.C.;68;2;1;2;15
11/04/2020;Bogotá D.C.;23;2;5;1;12
12/04/2020;Bogotá D.C.;12;2;2;1;2
13/04/2020;Bogotá D.C.;21;1;1;0;1
14/04/2020;Bogotá D.C.;30;3;1;1;1
15/04/2020;Bogotá D.C.;24;6;7;7;4
16/04/2020;Bogotá D.C.;39;1;1;1;1
17/04/2020;Bogotá D.C.;54;0;4;1;2
18/04/2020;Bogotá D.C.;79;1;2;1;1
19/04/2020;Bogotá D.C.;111;0;4;1;2
20/04/2020;Bogotá D.C.;71;1;8;2;0
21/04/2020;Bogotá D.C.;71;0;4;1;0
22/04/2020;Bogotá D.C.;78;0;5;0;0
23/04/2020;Bogotá D.C.;44;5;2;0;0
24/04/2020;Bogotá D.C.;150;2;31;2;0
25/04/2020;Bogotá D.C.;75;2;11;1;0
26/04/2020;Bogotá D.C.;86;1;4;0;0
27/04/2020;Bogotá D.C.;99;2;7;0;0
28/04/2020;Bogotá D.C.;57;1;7;0;0
29/04/2020;Bogotá D.C.;108;0;25;2;0
28/03/2020;Bolívar;0;0;0;0;1
29/03/2020;Bolívar;2;0;0;0;0
08/04/2020;Bolívar;2;0;0;0;1
09/04/2020;Bolívar;2;1;0;0;0
13/04/2020;Bolívar;1;0;0;0;0
14/04/2020;Bolívar;0;0;0;1;0
17/04/2020;Bolívar;0;1;0;0;0
20/04/2020;Bolívar;1;0;0;0;1
21/04/2020;Bolívar;0;1;0;0;0
23/04/2020;Bolívar;1;0;0;0;0
24/04/2020;Bolívar;5;0;0;0;0
27/04/2020;Bolívar;1;0;0;0;0
25/03/2020;Boyacá;0;0;0;0;1
26/03/2020;Boyacá;0;0;0;0;1
29/03/2020;Boyacá;0;0;0;0;1
30/03/2020;Boyacá;0;0;0;0;1
31/03/2020;Boyacá;1;1;0;0;0
04/04/2020;Boyacá;3;0;0;0;4
08/04/2020;Boyacá;3;0;0;0;3
09/04/2020;Boyacá;5;0;0;0;0
10/04/2020;Boyacá;2;0;0;0;1
11/04/2020;Boyacá;4;0;0;0;0
16/04/2020;Boyacá;1;0;0;0;0
20/04/2020;Boyacá;1;0;0;0;0
26/04/2020;Boyacá;2;0;0;0;0
28/04/2020;Boyacá;0;0;2;0;0
05/04/2020;Buenaventura D.E.;1;0;0;0;0
06/04/2020;Buenaventura D.E.;0;0;0;0;1
08/04/2020;Buenaventura D.E.;0;0;0;1;0
09/04/2020;Buenaventura D.E.;1;0;0;0;0
11/04/2020;Buenaventura D.E.;2;0;0;0;0
12/04/2020;Buenaventura D.E.;1;0;0;0;0
14/04/2020;Buenaventura D.E.;2;0;0;0;0
15/04/2020;Buenaventura D.E.;1;0;0;0;0
16/04/2020;Buenaventura D.E.;1;1;0;0;0
17/04/2020;Buenaventura D.E.;1;0;0;0;1
18/04/2020;Buenaventura D.E.;2;0;0;1;0
20/04/2020;Buenaventura D.E.;1;0;0;0;0
21/04/2020;Buenaventura D.E.;2;0;0;0;0
24/04/2020;Buenaventura D.E.;2;0;0;0;0
26/04/2020;Buenaventura D.E.;2;0;0;0;0
28/04/2020;Buenaventura D.E.;1;0;0;0;0
29/04/2020;Buenaventura D.E.;1;0;1;0;0
13/03/2020;Caldas;0;0;0;0;1
19/03/2020;Caldas;0;0;0;0;1
21/03/2020;Caldas;0;0;0;0;1
22/03/2020;Caldas;0;0;0;0;3
23/03/2020;Caldas;0;0;0;0;1
24/03/2020;Caldas;0;0;0;0;2
25/03/2020;Caldas;0;0;0;0;2
27/03/2020;Caldas;0;0;0;0;1
28/03/2020;Caldas;0;0;0;0;1
29/03/2020;Caldas;0;0;0;0;1
30/03/2020;Caldas;1;0;0;0;0
02/04/2020;Caldas;0;0;0;0;1
08/04/2020;Caldas;2;1;0;0;0
09/04/2020;Caldas;5;0;0;0;0
10/04/2020;Caldas;1;0;0;0;0
11/04/2020;Caldas;5;1;0;0;2
12/04/2020;Caldas;0;0;0;0;1
13/04/2020;Caldas;2;0;0;0;0
15/04/2020;Caldas;6;0;0;0;0
16/04/2020;Caldas;2;0;0;0;0
17/04/2020;Caldas;3;0;0;0;0
20/04/2020;Caldas;2;0;0;0;0
24/04/2020;Caldas;3;0;0;0;0
26/04/2020;Caldas;1;0;0;0;0
28/04/2020;Caldas;3;0;0;0;0
29/04/2020;Caldas;1;0;2;0;0
18/04/2020;Caquetá;0;1;0;0;0
19/04/2020;Caquetá;1;0;0;0;0
28/04/2020;Caquetá;5;0;0;0;0
29/04/2020;Caquetá;1;0;0;0;0
11/03/2020;Cartagena D.T. y C.;0;0;0;0;1
15/03/2020;Cartagena D.T. y C.;0;0;0;0;2
16/03/2020;Cartagena D.T. y C.;0;1;0;0;1
17/03/2020;Cartagena D.T. y C.;0;0;0;0;1
18/03/2020;Cartagena D.T. y C.;0;0;0;0;3
19/03/2020;Cartagena D.T. y C.;0;0;0;0;1
20/03/2020;Cartagena D.T. y C.;0;0;0;0;1
21/03/2020;Cartagena D.T. y C.;0;0;0;0;4
23/03/2020;Cartagena D.T. y C.;0;0;0;0;1
24/03/2020;Cartagena D.T. y C.;0;0;0;0;5
25/03/2020;Cartagena D.T. y C.;0;0;0;0;5
28/03/2020;Cartagena D.T. y C.;0;0;0;0;1
29/03/2020;Cartagena D.T. y C.;4;1;0;0;2
30/03/2020;Cartagena D.T. y C.;0;1;0;1;1
31/03/2020;Cartagena D.T. y C.;0;0;0;0;2
03/04/2020;Cartagena D.T. y C.;0;0;0;0;3
06/04/2020;Cartagena D.T. y C.;1;1;0;1;8
07/04/2020;Cartagena D.T. y C.;0;2;0;0;1
08/04/2020;Cartagena D.T. y C.;2;0;0;1;6
09/04/2020;Cartagena D.T. y C.;5;4;1;0;4
10/04/2020;Cartagena D.T. y C.;16;1;0;0;4
11/04/2020;Cartagena D.T. y C.;2;1;1;0;4
12/04/2020;Cartagena D.T. y C.;0;0;0;0;6
13/04/2020;Cartagena D.T. y C.;6;0;2;1;1
14/04/2020;Cartagena D.T. y C.;4;2;1;2;1
15/04/2020;Cartagena D.T. y C.;9;2;0;0;3
16/04/2020;Cartagena D.T. y C.;4;1;3;0;0
17/04/2020;Cartagena D.T. y C.;4;0;1;0;0
18/04/2020;Cartagena D.T. y C.;8;0;1;0;1
19/04/2020;Cartagena D.T. y C.;1;0;0;0;0
20/04/2020;Cartagena D.T. y C.;9;0;0;0;0
21/04/2020;Cartagena D.T. y C.;1;2;0;0;0
23/04/2020;Cartagena D.T. y C.;3;0;1;0;0
24/04/2020;Cartagena D.T. y C.;8;1;2;0;0
25/04/2020;Cartagena D.T. y C.;3;0;3;0;0
26/04/2020;Cartagena D.T. y C.;12;1;1;0;0
27/04/2020;Cartagena D.T. y C.;3;0;0;0;0
28/04/2020;Cartagena D.T. y C.;12;0;2;2;0
29/04/2020;Cartagena D.T. y C.;6;0;2;0;0
22/03/2020;Casanare;0;0;0;0;1
01/04/2020;Casanare;0;0;0;0;1
09/04/2020;Casanare;0;0;0;0;1
10/04/2020;Casanare;1;0;0;0;1
11/04/2020;Casanare;0;0;0;0;2
14/04/2020;Casanare;2;0;0;0;0
19/04/2020;Casanare;1;0;0;0;0
28/04/2020;Casanare;5;0;1;0;0
29/04/2020;Casanare;1;0;1;0;0
19/03/2020;Cauca;0;0;0;0;2
24/03/2020;Cauca;0;0;0;0;1
25/03/2020;Cauca;1;0;0;0;5
01/04/2020;Cauca;0;1;1;0;1
06/04/2020;Cauca;0;1;0;0;0
07/04/2020;Cauca;0;0;1;0;0
08/04/2020;Cauca;0;0;0;0;1
09/04/2020;Cauca;0;0;1;0;0
10/04/2020;Cauca;2;0;0;0;1
11/04/2020;Cauca;0;1;0;0;0
14/04/2020;Cauca;1;0;0;0;0
16/04/2020;Cauca;1;0;0;0;1
17/04/2020;Cauca;0;0;1;0;0
23/04/2020;Cauca;1;0;0;0;0
